,Data_x,Year,GERCB,HLRCV,LORCB,NGRCV,PERCV,PQRCB,PQRCP,PQRCV,SORCB,SOTXB,TERCB,TERCV,TNRCB,TNRSB,WDRCV,StateCode,Year1
0,16.7,1970-01-01,0.0,0.6,7074.0,9.4,22.2,0.0,0.0,0.0,0.0,0.0,24873.0,38.9,17800.0,16912.0,0.3,0,0
1,20.1,1971-01-01,0.0,0.7,8316.0,10.6,27.7,0.0,0.0,0.0,0.0,0.0,29598.0,47.7,21282.0,20418.0,0.3,0,1
2,22.0,1972-01-01,0.0,0.8,8963.0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,29461.0,49.0,20497.0,19681.0,0.3,0,2
3,22.3,1973-01-01,0.0,1.8,9488.0,7.9,27.4,0.0,0.0,0.0,0.0,0.0,28496.0,49.8,19008.0,18263.0,0.3,0,3
4,25.3,1974-01-01,0.0,1.2,10533.0,6.6,36.2,0.0,0.0,0.0,0.0,0.0,29137.0,61.5,18605.0,17871.0,0.5,0,4
5,31.1,1975-01-01,0.0,1.1,11010.0,16.9,47.0,0.0,0.0,0.0,0.0,0.0,36147.0,78.1,25137.0,24166.0,0.7,0,5
6,36.6,1976-01-01,0.0,1.6,12217.0,18.0,57.5,0.0,0.0,0.0,0.0,0.0,40237.0,94.0,28019.0,26954.0,0.8,0,6
7,44.8,1977-01-01,0.0,1.1,13067.0,19.3,66.4,0.0,0.0,0.0,0.0,0.0,43461.0,111.2,30394.0,29152.0,1.1,0,7
8,49.7,1978-01-01,0.0,2.0,13136.0,21.4,85.0,0.0,0.0,0.0,0.0,0.0,47016.0,134.7,33880.0,32520.0,1.3,0,8
9,49.2,1979-01-01,0.0,2.2,14729.0,12.5,67.5,0.0,0.0,0.0,0.0,0.0,38446.0,116.7,23717.0,21836.0,2.5,0,9
10,60.3,1980-01-01,0.0,1.8,15003.0,13.8,65.0,0.0,0.0,0.0,0.0,0.0,34590.0,125.2,19586.0,18935.0,1.2,0,10
11,73.9,1981-01-01,0.0,1.4,14792.0,15.4,76.7,0.0,0.0,0.0,0.0,0.0,34830.0,150.6,20038.0,19234.0,1.9,0,11
12,100.9,1982-01-01,0.0,2.4,15772.0,19.0,92.1,0.0,0.0,0.0,0.0,0.0,40248.0,193.0,24476.0,23745.0,1.6,0,12
13,119.2,1983-01-01,0.0,4.0,15264.0,24.4,94.2,0.0,0.0,0.0,0.0,0.0,40386.0,213.4,25122.0,24229.0,1.9,0,13
14,135.1,1984-01-01,0.0,5.7,16367.0,29.4,112.7,0.0,0.0,0.0,0.0,0.0,45551.0,247.8,29184.0,27935.0,2.8,0,14
15,148.3,1985-01-01,0.0,6.8,16494.0,37.3,116.6,0.0,0.0,0.0,0.0,0.0,46846.0,264.9,30352.0,29066.0,2.7,0,15
16,146.8,1986-01-01,0.0,5.1,15824.0,39.3,103.9,0.0,0.0,0.0,0.0,0.0,43771.0,250.7,27947.0,26775.0,2.0,0,16
17,151.9,1987-01-01,0.0,5.2,13669.0,39.3,96.9,0.0,0.0,0.0,0.0,0.0,42041.0,248.8,28372.0,26758.0,2.6,0,17
18,154.0,1988-01-01,0.0,5.5,13905.0,43.4,95.4,0.0,0.0,0.0,0.0,0.0,41824.0,249.4,27919.0,26196.0,2.8,0,18
19,161.0,1989-01-01,15.0,8.0,15064.0,49.3,122.7,0.0,0.0,0.0,1.0,1.0,46208.0,283.8,31144.0,29387.0,3.2,0,19
20,168.0,1990-01-01,15.0,12.8,15394.0,53.7,154.1,0.0,0.0,0.0,1.0,1.0,47410.0,322.1,32017.0,31120.0,3.0,0,20
21,171.1,1991-01-01,15.0,14.1,13394.0,56.6,159.9,0.0,0.0,0.0,1.0,1.0,45623.0,331.0,32229.0,31290.0,3.1,0,21
22,177.5,1992-01-01,15.0,12.9,12298.0,54.4,154.1,0.0,0.0,0.0,1.0,1.0,46912.0,331.7,34614.0,33629.0,2.9,0,22
23,181.6,1993-01-01,15.0,7.7,13523.0,54.9,155.1,0.0,0.0,0.0,1.0,1.0,47943.0,336.7,34420.0,33277.0,3.3,0,23
24,191.1,1994-01-01,15.0,5.6,13731.0,53.6,136.7,0.0,0.0,0.0,1.0,1.0,49237.0,327.8,35505.0,34420.0,3.1,0,24
25,192.5,1995-01-01,15.0,5.6,14031.0,55.3,137.0,0.0,0.0,0.0,1.0,1.0,50322.0,329.4,36291.0,35205.0,3.0,0,25
26,200.7,1996-01-01,15.0,7.1,14296.0,55.3,141.5,0.0,0.0,0.0,1.0,1.0,50875.0,342.1,36579.0,35453.0,3.6,0,26
27,197.5,1997-01-01,15.0,4.8,14276.0,57.1,142.3,0.0,0.0,0.0,1.0,1.0,48844.0,339.7,34568.0,33644.0,2.9,0,27
28,203.3,1998-01-01,15.0,3.6,13626.0,57.3,124.8,0.0,0.0,0.0,0.0,0.0,47564.0,328.1,33938.0,33115.0,2.2,0,28
29,208.2,1999-01-01,50.0,7.8,13246.0,64.2,159.6,0.0,0.0,0.0,0.0,0.0,52227.0,367.8,38981.0,38102.0,2.4,0,29
30,212.5,2000-01-01,50.0,8.4,14912.0,57.2,169.0,0.0,0.0,0.0,0.0,0.0,50780.0,381.5,35868.0,34926.0,3.8,0,30
31,229.2,2001-01-01,50.0,10.5,15971.0,71.1,195.4,0.0,0.0,0.0,0.0,0.0,54045.0,424.5,38074.0,36569.0,5.9,0,31
32,232.8,2002-01-01,50.0,9.0,16492.0,71.4,155.6,0.0,0.0,0.0,0.0,0.0,52028.0,388.4,35537.0,34010.0,5.5,0,32
33,238.1,2003-01-01,51.0,10.7,16243.0,74.0,171.1,0.0,0.0,0.0,0.0,0.0,52810.0,409.2,36567.0,34962.0,6.9,0,33
34,256.5,2004-01-01,49.0,7.0,16723.0,88.8,214.5,0.0,0.0,0.0,0.0,0.0,55874.0,471.0,39152.0,37510.0,8.0,0,34
35,274.2,2005-01-01,49.0,13.9,16588.0,103.3,264.4,0.0,0.0,0.0,0.0,0.0,53524.0,538.6,36935.0,36353.0,3.6,0,35
36,314.4,2006-01-01,50.0,13.3,16655.0,141.0,386.2,0.0,0.0,0.0,0.0,0.0,59556.0,700.6,42902.0,42379.0,3.6,0,36
37,321.0,2007-01-01,52.0,11.4,15119.0,172.2,364.7,0.0,0.0,0.0,0.0,0.0,53742.0,685.7,38623.0,38049.0,4.4,0,37
38,352.6,2008-01-01,59.0,25.5,15013.0,186.9,423.5,0.0,0.0,0.0,2.0,2.0,53668.0,776.1,38654.0,38009.0,6.1,0,38
39,362.9,2009-01-01,77.0,21.8,14564.0,204.4,395.5,0.0,0.0,0.0,3.0,3.0,53536.0,758.4,38972.0,37649.0,9.8,0,39
40,340.3,2010-01-01,79.0,20.2,14563.0,166.4,387.4,589.0,153.0,20.2,3.0,3.0,52253.0,727.8,37690.0,36275.0,12.4,0,40
41,376.0,2011-01-01,126.0,17.5,15093.0,177.7,427.6,500.0,130.0,17.5,3.0,3.0,53939.0,803.6,38847.0,37426.0,14.4,0,41
42,386.3,2012-01-01,101.0,16.2,15260.0,181.1,429.6,502.0,131.0,16.2,3.0,3.0,54597.0,815.9,39337.0,38152.0,13.4,0,42
43,381.2,2013-01-01,101.0,11.8,12548.0,170.1,390.1,368.0,96.0,11.8,3.0,3.0,48810.0,771.3,36262.0,34748.0,17.2,0,43
44,391.1,2014-01-01,101.0,14.5,13456.0,161.6,372.9,388.0,101.0,14.5,3.0,3.0,47823.0,764.0,34367.0,32836.0,16.9,0,44
45,405.3,2015-01-01,101.0,10.1,13409.0,179.1,364.4,355.0,92.0,10.1,3.0,3.0,53134.0,769.6,39725.0,36210.0,27.9,0,45
46,407.4,2016-01-01,101.0,9.5,12108.0,174.5,323.6,348.0,91.0,9.5,10.0,14.0,50842.0,730.9,38734.0,34923.0,25.9,0,46
47,438.2,2017-01-01,101.0,14.1,12302.0,213.0,390.9,447.0,116.0,14.1,13.0,20.0,53083.0,829.2,40781.0,37520.0,24.6,0,47
48,433.2,2018-01-01,101.0,15.0,11632.0,204.5,383.2,459.0,120.0,15.0,19.0,28.0,49401.0,816.4,37769.0,34205.0,29.8,0,48
49,441.9,2019-01-01,101.0,11.5,11663.0,199.4,370.2,398.0,104.0,11.5,28.0,40.0,48529.0,812.1,36867.0,33526.0,26.8,0,49
50,471.5,2020-01-01,101.0,11.2,12395.0,234.5,388.6,436.0,113.0,11.2,48.0,62.0,54179.0,860.1,41784.0,38026.0,24.8,0,50
52,181.7,1970-01-01,0.0,35.2,95150.0,63.0,103.6,0.0,0.0,0.0,0.0,0.0,221615.0,285.3,126465.0,118002.0,1.6,1,0
53,204.2,1971-01-01,0.0,38.3,100685.0,65.1,107.8,0.0,0.0,0.0,0.0,0.0,228132.0,312.0,127447.0,119577.0,1.5,1,1
