,Data_x,Year,GERCB,HLRCV,LORCB,NGRCV,PERCV,PQRCB,PQRCP,PQRCV,SORCB,SOTXB,TERCB,TERCV,TNRCB,TNRSB,WDRCV,StateCode,Year1
2131,4037.5,2021-01-01,648.0,151.7,222400.0,474.5,643.1,4363.0,1136.0,151.7,2699.0,3854.0,373311.0,4680.5,150912.0,146808.0,4.1,40,51
2183,616.5,2021-01-01,650.0,92.1,30611.0,121.4,227.6,4309.0,1122.0,92.1,16.0,22.0,68101.0,844.1,37490.0,35906.0,3.6,41,51
2235,4741.6,2021-01-01,213.0,166.6,300061.0,737.8,933.7,6120.0,1593.0,166.6,273.0,903.0,533708.0,5675.3,233647.0,229656.0,19.0,42,51
2287,18772.3,2021-01-01,1588.0,365.3,969541.0,2907.3,3280.4,12855.0,3347.0,365.3,17268.0,20831.0,1748371.0,22052.7,778830.0,758711.0,7.6,43,51
2339,1142.2,2021-01-01,96.0,39.3,70153.0,643.9,698.5,1561.0,406.0,39.3,4764.0,5873.0,191779.0,1840.7,121626.0,115207.0,12.9,44,51
2391,5579.6,2021-01-01,816.0,394.9,287860.0,1111.7,1790.1,11737.0,3056.0,394.9,2638.0,3397.0,571463.0,7369.6,283603.0,273760.0,34.7,45,51
2443,418.7,2021-01-01,29.0,204.5,2101.0,52.3,508.3,6500.0,1692.0,204.5,1106.0,1743.0,43168.0,927.1,41067.0,35156.0,49.8,46,51
2495,3843.7,2021-01-01,358.0,244.4,211495.0,1041.0,1489.0,9359.0,2437.0,244.4,2462.0,2858.0,479152.0,5332.7,267657.0,250719.0,116.7,47,51
2547,3320.2,2021-01-01,615.0,634.6,148670.0,1289.3,2073.4,29614.0,7710.0,634.6,922.0,1890.0,424765.0,5393.7,276095.0,258452.0,63.5,48,51
2599,1343.2,2021-01-01,29.0,99.4,75784.0,249.1,408.1,2903.0,756.0,99.4,189.0,248.0,152717.0,1751.4,76934.0,71350.0,29.1,49,51
2651,323.7,2021-01-01,70.0,82.1,21307.0,129.0,231.4,3351.0,873.0,82.1,132.0,160.0,52210.0,555.1,30903.0,28518.0,18.0,50,51
